time,dataid,air,car,clotheswasher,dishwasher,dry,non-shiftable,total
01/01/2018 00:00,661,0,0,0,0.001,0,0.446,0.447
31/12/2018 23:45,9922,-0.003,0,0.078,0.001,0.001,0.843,0.92
